"contact_id","cert_id"
"3551","2"
"3569","1"
"3542","1"
"3558","1"
"3542","2"
"3580","1"
"3580","2"
"3553","1"
"3553","2"
"3580","3"
"6610","1"
"3392","2"
"7612","3"
"3396","1"
"3384","1"
"3384","3"
"10638","1"
"17649","1"
"9622","3"
"12648","2"
"36689","1"
"11639","3"
"15648","2"
"12643","3"
"14651","1"
"23671","1"
"3398","1"
"13649","2"
"12646","1"
"292","1"
"19655","1"
"19655","2"
"18651","2"
"18651","3"
"19650","3"
"3406","2"
"13649","3"
"20663","3"
"19655","3"
"19656","1"
"11640","1"
"23672","1"
"23669","1"
"20656","2"
"27679","3"
"23674","2"
"23674","3"
"40693","2"
"50697","2"
"55726","1"
"39688","1"
"29681","1"
"36687","1"
"29681","3"
"28682","1"
"28682","3"
"28681","1"
"36689","2"
"36689","3"
"40690","3"
"39688","3"
"45693","1"
"45693","2"
"52700","1"
"53700","1"
"49696","1"
"50696","1"
"50696","3"
"49696","2"
"49696","3"
"55726","3"
"59745","1"
"57734","3"
"59747","1"
"55714","3"
"335","1"
"53712","1"
"59737","3"
"59736","1"
"53712","3"
"59745","3"
"53717","1"
"59743","2"
"53713","1"
"53713","2"
"59744","1"
"59744","2"
"59744","3"
"59751","1"
"60751","1"
"60751","3"
"59751","2"
"59751","3"
"66773","1"
"62756","2"
"64770","2"
"64771","1"
"64771","2"
"84810","1"
"84811","1"
"83809","3"
"65772","1"
"65772","3"
"62760","3"
"66773","2"
"89821","2"
"90839","1"
"87815","2"
"87810","1"
"87814","2"
"90821","3"
"90836","3"
"90839","3"
"90837","3"
"3378","1"
"3428","2"
"2945","2"
"2945","3"
"3194","3"
"3381","1"
"3382","1"
"3382","3"
"3420","1"
"3004","1"
"3004","2"
"1555","2"
"1205","2"
"3165","2"
"2980","2"
"2480","1"
"2480","3"
"2044","1"
"2638","2"
"2560","1"
"2741","2"
"29","1"
"3149","2"
"2863","3"
"922","1"
"922","3"
"2739","3"
"487","1"
"3205","2"
"2648","1"
"2648","2"
"2648","3"
"2704","1"
"2339","2"
"3189","1"
"3189","3"
"3242","1"
"2998","1"
"211","1"
"2654","1"
"2946","1"
"2822","1"
"3146","3"
"2644","1"
"1892","1"
"2599","1"
"2554","2"
"2969","1"
"2968","2"
"3101","1"
"3101","2"
"1499","1"
"3459","1"
"2523","1"
"1499","3"
"2845","1"
"439","2"
"754","3"
"2845","3"
"2831","1"
"1133","1"
"1133","3"
"2207","1"
"602","1"
"1411","3"
"1318","2"
"1406","3"
"2869","1"
"1227","3"
"1465","2"
"1484","2"
"1484","3"
"1599","3"
"1518","3"
"1100","1"
"79","1"
"783","3"
"2869","3"
"1873","2"
"871","1"
"871","3"
"2893","1"
"3465","1"
"3220","1"
"1272","3"
"2957","1"
"570","1"
"570","3"
"3506","2"
"602","3"
"2842","1"
"1024","1"
"2662","1"
"2229","1"
"1888","1"
"1888","3"
"2711","2"
"2229","3"
"22","1"
"2907","2"
"3448","1"
"3180","1"
"2909","1"
"2957","3"
"1357","1"
"3098","2"
"2909","3"
"1357","3"
"3475","2"
"3442","1"
"3442","3"
"3457","1"
"1354","1"
"1354","3"
"2950","3"
"2715","1"
"3057","1"
"2974","1"
"2491","1"
"2951","1"
"2491","3"
"3457","3"
"3220","3"
"3416","1"
"2834","1"
"2941","1"
"3057","3"
"2831","2"
"3476","1"
"2697","1"
"1746","3"
"2697","3"
"2984","2"
"3150","1"
"3150","3"
"3291","1"
"2195","2"
"3142","1"
"3291","3"
"2786","1"
"3485","1"
"2786","2"
"3279","1"
"3001","1"
"3485","2"
"3309","1"
"3279","3"
"3182","3"
"3485","3"
"3089","1"
"3329","3"
"3106","1"
"2445","1"
"3056","1"
"3281","1"
"3281","3"
"3048","1"
"3048","3"
"3037","1"
"3037","3"
"3005","1"
"3041","2"
"3283","1"
"2445","3"
"3062","3"
"3068","1"
"3068","3"
"3088","3"
"2759","1"
"2759","3"
"3009","2"
"3050","1"
"2773","1"
"3285","1"
"1930","1"
"1930","2"
"1930","3"
"751","1"
"751","3"
"2730","2"
"3517","2"
"2502","2"
"702","1"
"2245","1"
"1852","1"
"1852","3"
"1938","1"
"3192","1"
"2844","2"
"1898","1"
"1898","3"
"2322","3"
"445","1"
"445","3"
"1466","1"
"2941","2"
"296","1"
"2941","3"
"2597","1"
"2597","3"
"1596","1"
"1596","3"
"2872","1"
"2872","2"
"2010","1"
"3204","1"
"3204","3"
"3407","1"
"2773","3"
"686","1"
"2846","3"
"2300","3"
"1559","1"
"1559","3"
"3402","1"
"2478","1"
"2478","3"
"1978","2"
"1260","3"
"2031","1"
"3202","1"
"2818","1"
"2818","3"
"2051","3"
"2936","1"
"2936","3"
"2576","1"
"3211","1"
"3211","2"
"2170","3"
"2433","3"
"1319","1"
"1319","3"
"2446","1"
"3202","2"
"2827","1"
"3202","3"
"1740","1"
"1740","3"
"686","3"
"3066","1"
"3077","1"
"3206","1"
"3022","1"
"3212","3"
"3106","2"
"3106","3"
"3211","3"
"2611","3"
"3144","3"
"3164","1"
"3164","3"
"3152","2"
"3158","1"
"2738","1"
"2940","3"
"3369","1"
"18650","1"
"2067","1"
"2067","3"
"1239","1"
"1239","3"
"3022","2"
"3194","1"
"3200","1"
"3000","1"
"3022","3"
"3232","2"
"3000","3"
"2937","1"
"3221","1"
"3221","3"
"3107","2"
"3243","3"
"2629","1"
"1096","1"
"3317","2"
"2637","1"
"647","1"
"2851","2"
"3300","1"
"3254","1"
"3254","3"
"3252","1"
"3252","3"
"3271","3"
"3249","1"
"3250","1"
"3256","1"
"3256","3"
"2660","1"
"3422","2"
"3273","2"
"3305","3"
"3315","1"
"3322","3"
"2562","3"
"3309","3"
"3319","1"
"3310","2"
"18650","3"
"3373","2"
"6602","2"
"3549","2"
"6597","1"
"6597","2"
"6589","3"
"3363","1"
"3552","1"
"3521","3"
"3556","2"
"3540","2"
"83806","1"
"83806","2"
"83806","3"
"3363","3"
"3375","1"
"8618","1"
"8618","2"
"8618","3"
"9627","1"
"40690","1"
"53713","3"
"55717","1"
"55717","3"
"57732","1"
"57732","2"
"59740","2"
"64772","2"
"77786","1"
